Player,Age,Position,CM,KG,Start,Sub,Game,Mins,Goals,Assists,G+A,Yel,Red,Yel+Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.Diarra,29,Defender,182,80,0,3,3,19,0,0,0,0,0,0,0.3,93.5,0,0,6.17,Real Madrid,2010/2011,MLI,Mali
M.Diaz,23,Forward,180,76,0,8,8,115,1,1,2,0,0,0,0.6,81.8,0.6,0,6.26,Real Madrid,2016/2017,DOM,Dominican Republic
M.Diaz,25,Forward,180,76,3,10,13,441,3,0,3,2,0,2,1.8,75,0.8,0,6.36,Real Madrid,2018/2019,DOM,Dominican Republic
M.Diaz,26,Forward,180,76,0,5,5,42,1,0,1,1,0,1,1.2,71.4,0.4,0,6.07,Real Madrid,2019/2020,DOM,Dominican Republic
M.Diaz,27,Forward,180,76,5,11,16,508,1,0,1,0,0,0,0.9,69.5,1.3,0,6.28,Real Madrid,2020/2021,DOM,Dominican Republic
M.Diaz,28,Forward,180,76,3,6,9,340,1,1,2,2,0,2,1.6,70,1,0,6.54,Real Madrid,2021/2022,DOM,Dominican Republic
M.Diaz,29,Defender,166,67,10,4,14,983,0,1,1,3,0,3,0.9,89.1,0.1,0,6.53,Celta Vigo,2015/2016,DOM,Dominican Republic
M.Diaz,29,Forward,180,76,1,8,9,150,0,0,0,2,0,2,0.6,80,0.6,0,6.04,Real Madrid,2022/2023,DOM,Dominican Republic
M.Diaz,30,Defender,166,67,17,9,26,1644,1,2,3,5,0,5,0.5,88.3,0.5,0,6.48,Celta Vigo,2016/2017,DOM,Dominican Republic
M.Dituro,34,Goalkeeper,191,86,38,0,38,3420,0,0,0,1,0,1,0,60.2,0.2,2,6.64,Celta Vigo,2021/2022,ARG,Argentina
M.Dmitrovic,26,Goalkeeper,194,91,36,0,36,3240,0,0,0,1,0,1,0,45.8,0.4,0,6.54,Eibar,2017/2018,SRB,Serbia
M.Dmitrovic,27,Goalkeeper,194,91,35,0,35,3121,1,0,1,0,0,0,0.1,50.2,0.3,1,6.43,Eibar,2018/2019,SRB,Serbia
M.Dmitrovic,28,Goalkeeper,194,91,35,0,35,3150,0,0,0,3,0,3,0,40.9,0.3,0,6.47,Eibar,2019/2020,SRB,Serbia
M.Dmitrovic,29,Goalkeeper,194,91,35,0,35,3121,1,0,1,0,0,0,0.1,50.2,0.3,1,6.43,Eibar,2020/2021,SRB,Serbia
M.Dmitrovic,30,Goalkeeper,194,91,7,0,7,541,0,0,0,1,0,1,0,80.7,0.1,0,6.7,Sevilla,2021/2022,SRB,Serbia
M.Dmitrovic,31,Goalkeeper,194,91,13,2,15,1268,0,0,0,2,0,2,0,49.5,0.3,0,6.66,Sevilla,2022/2023,SRB,Serbia
M.Doherty,31,Defender,185,80,0,2,2,16,0,0,0,0,0,0,0,62.5,0,0,6.03,Atletico Madrid,2022/2023,IRL,Ireland
M.Dominguez,18,Forward,175,0,0,2,2,23,0,0,0,0,0,0,0,66.7,0,0,6.02,Valencia,2021/2022,ESP,Spain
M.Dos Santos,25,Defender,188,79,27,2,29,2299,1,0,1,6,2,8,0.4,72.1,2.4,0,6.66,Almeria,2014/2015,ARG,Argentina
M.Dos Santos,26,Defender,188,79,30,1,31,2682,0,1,1,7,0,7,0.4,67.2,2.7,1,6.75,Eibar,2015/2016,ARG,Argentina
M.Dos Santos,27,Defender,188,79,8,3,11,761,0,0,0,1,0,1,0.2,73.5,1.5,0,6.34,Eibar,2016/2017,ARG,Argentina
M.Dos Santos,28,Defender,188,79,10,4,14,981,0,0,0,3,0,3,0.1,76,1.5,0,6.56,Leganes,2017/2018,ARG,Argentina
M.El Hacen,20,Midfielder,181,79,1,1,2,82,0,0,0,0,0,0,0,62.5,2,0,6.19,Levante,2017/2018,MRT,Mauritania
M.El Hacen,21,Midfielder,181,79,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6.21,Real Valladolid,2018/2019,MRT,Mauritania
M.El Haddadi,19,Forward,175,69,7,3,10,463,1,1,2,0,0,0,1.8,79.7,0.7,0,6.49,Barcelona,2014/2015,MAR,Morocco
M.El Haddadi,20,Forward,175,69,8,7,15,825,3,2,5,0,0,0,1.1,78.7,0.4,0,6.74,Barcelona,2015/2016,MAR,Morocco
M.El Haddadi,21,Forward,175,69,0,1,1,20,0,0,0,0,0,0,0,100,0,0,6.15,Barcelona,2016/2017,MAR,Morocco
M.El Haddadi,21,Forward,175,69,22,11,33,2036,6,3,9,3,1,4,1.4,79.3,0.7,2,6.7,Valencia,2016/2017,MAR,Morocco
M.El Haddadi,22,Forward,175,69,28,5,33,2458,10,6,16,7,1,8,1.9,70.9,1.2,2,6.81,Deportivo Alaves,2017/2018,MAR,Morocco
M.El Haddadi,23,Forward,175,69,1,6,7,148,1,1,2,0,0,0,0.6,77.6,0.1,0,6.43,Barcelona,2018/2019,MAR,Morocco
M.El Haddadi,23,Forward,175,69,12,4,16,1045,5,1,6,2,0,2,2.1,74.2,1.1,1,6.8,Sevilla,2018/2019,MAR,Morocco
M.El Haddadi,24,Forward,175,69,14,7,21,1256,5,2,7,1,0,1,2.1,79,1.1,3,6.95,Sevilla,2019/2020,MAR,Morocco
M.El Haddadi,25,Forward,175,69,9,15,24,839,4,2,6,2,0,2,1.3,82.4,0.4,0,6.53,Sevilla,2020/2021,MAR,Morocco
M.El Haddadi,26,Forward,175,69,5,12,17,471,2,0,2,3,0,3,0.7,79,0.5,0,6.33,Sevilla,2021/2022,MAR,Morocco
M.El Haddadi,27,Forward,175,69,10,18,28,1149,3,1,4,4,0,4,1.1,69.4,1,0,6.43,Getafe,2022/2023,MAR,Morocco
M.El Hamdaoui,29,Forward,183,79,6,7,13,544,3,2,5,0,0,0,1,75.3,0.5,1,6.44,Malaga,2013/2014,MAR,Morocco
